Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),ItemID,Title,SiteID,Currency,StartPrice,BuyItNowPrice,Quantity,Relationship,RelationshipDetails,CustomLabel
,,,,,579.00,,1,Variation,"Size=48 | Color=Black",AGT-SDT-BKBK-48
,,,,,579.00,,0,Variation,"Size=40 | Color=Black",AGT-SDT-BKBK-40
,,,,,579.00,,0,Variation,"Size=50 | Color=Black",AGT-SDT-BKBK-50
,,,,,579.00,,1,Variation,"Size=42 | Color=Black",AGT-SDT-BKBK-42
,,,,,579.00,,1,Variation,"Size=44 | Color=Black",AGT-SDT-BKBK-44
,,,,,579.00,,0,Variation,"Size=52 | Color=Black",AGT-SDT-BKBK-52
,,,,,579.00,,0,Variation,"Size=46 | Color=Black",AGT-SDT-BKBK-46
Revise,311640116730,"AGV Sport Aura Ladies Jeans - Dark Blue Denim",eBayMotors,USD,,,0,,"Size=0 Long;0 Short;10 Regular;10 Long;0 Regular;12 Short;14 Regular;10 Short;14 Short;2 Regular;2 Short;4 Long;4 Regular;6 Long;4 Short;6 Regular;8 Regular;8 Long;12 Regular;6 Short;8 Short;2 Long | Color=Dark Blue Denim",
,,,,,109.00,,0,Variation,"Size=8 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-8S
,,,,,109.00,,0,Variation,"Size=2 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-2L
,,,,,109.00,,0,Variation,"Size=6 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-6L
,,,,,109.00,,6,Variation,"Size=4 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-4S
,,,,,109.00,,6,Variation,"Size=6 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-6R
,,,,,109.00,,6,Variation,"Size=8 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-8R
,,,,,109.00,,0,Variation,"Size=8 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-8L
,,,,,109.00,,6,Variation,"Size=12 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-12R
,,,,,109.00,,6,Variation,"Size=6 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-6S
,,,,,109.00,,0,Variation,"Size=10 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-10L
,,,,,109.00,,6,Variation,"Size=0 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-0R
,,,,,109.00,,0,Variation,"Size=12 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-12S
,,,,,109.00,,0,Variation,"Size=14 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-14R
,,,,,109.00,,0,Variation,"Size=10 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-10S
,,,,,109.00,,6,Variation,"Size=14 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-14S
,,,,,109.00,,1,Variation,"Size=2 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-2R
,,,,,109.00,,6,Variation,"Size=2 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-2S
,,,,,109.00,,3,Variation,"Size=4 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-4L
,,,,,109.00,,0,Variation,"Size=4 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-4R
,,,,,109.00,,1,Variation,"Size=0 Long | Color=Dark Blue Denim",AGT-LAK-DBJN-0L
,,,,,109.00,,1,Variation,"Size=0 Short | Color=Dark Blue Denim",AGT-LAK-DBJN-0S
,,,,,109.00,,0,Variation,"Size=10 Regular | Color=Dark Blue Denim",AGT-LAK-DBJN-10R
Revise,361608363480,"AGV Sport Sniper Textile Jacket - Black / Blue",eBayMotors,USD,,,0,,"Size=Small;X-Large;Medium;Large;XX-Large | Color=Black / Blue",
,,,,,149.00,,6,Variation,"Size=Small | Color=Black / Blue",AGT-TSN-BKBL-3S
,,,,,149.00,,6,Variation,"Size=X-Large | Color=Black / Blue",AGT-TSN-BKBL-6XL
,,,,,149.00,,6,Variation,"Size=Medium | Color=Black / Blue",AGT-TSN-BKBL-4M
,,,,,149.00,,6,Variation,"Size=Large | Color=Black / Blue",AGT-TSN-BKBL-5L
,,,,,149.00,,3,Variation,"Size=XX-Large | Color=Black / Blue",AGT-TSN-BKBL-7XXL
Revise,142032134903,"AGV Sport Esprit Ladies Glove - Black / Pink",eBayMotors,USD,,,0,,"Size=Large;Medium;X-Large;Small | Color=Black / Pink",
,,,,,44.00,,6,Variation,"Size=Large | Color=Black / Pink",AGS-LEP-BKPK-5L
,,,,,44.00,,6,Variation,"Size=Medium | Color=Black / Pink",AGS-LEP-BKPK-4M
,,,,,44.00,,6,Variation,"Size=X-Large | Color=Black / Pink",AGS-LEP-BKPK-6XL
,,,,,44.00,,6,Variation,"Size=Small | Color=Black / Pink",AGS-LEP-BKPK-3S
Revise,361608363525,"AGV Sport Misano Leather Jacket - Black / White",eBayMotors,USD,,,0,,"Color=Black / White | Size=40;44;46;42;52;50;48",
,,,,,349.00,,6,Variation,"Size=40 | Color=Black / White",AGS-JMS-BKWH-40
,,,,,349.00,,6,Variation,"Size=44 | Color=Black / White",AGS-JMS-BKWH-44
,,,,,349.00,,6,Variation,"Size=46 | Color=Black / White",AGS-JMS-BKWH-46
,,,,,349.00,,6,Variation,"Size=42 | Color=Black / White",AGS-JMS-BKWH-42
,,,,,349.00,,3,Variation,"Size=52 | Color=Black / White",AGS-JMS-BKWH-52
,,,,,349.00,,3,Variation,"Size=50 | Color=Black / White",AGS-JMS-BKWH-50
,,,,,349.00,,6,Variation,"Size=48 | Color=Black / White",AGS-JMS-BKWH-48
Revise,142032134922,"AGV Sport Sky Ladies Textile Jacket - Black",eBayMotors,USD,,,0,,"Color=Black | Size=Medium;Large;X-Large;Small;X-Small",
,,,,,129.00,,6,Variation,"Size=Medium | Color=Black",AGS-LST-BKBK-4M
,,,,,129.00,,2,Variation,"Size=Large | Color=Black",AGS-LST-BKBK-5L
,,,,,129.00,,6,Variation,"Size=X-Large | Color=Black",AGS-LST-BKBK-6XL
,,,,,129.00,,6,Variation,"Size=Small | Color=Black",AGS-LST-BKBK-3S
,,,,,129.00,,6,Variation,"Size=X-Small | Color=Black",AGS-LST-BKBK-2XS
Revise,311640116777,"AGV Sport Solare Vented Textile Jacket - Gray",eBayMotors,USD,,,0,,"Size=Large;Small;Medium;X-Large;XX-Large;XXX-Large | Color=Gray",
,,,,,119.00,,6,Variation,"Size=Large | Color=Gray",AGT-TSO-BKGY-5L
,,,,,119.00,,6,Variation,"Size=Small | Color=Gray",AGT-TSO-BKGY-3S
,,,,,119.00,,6,Variation,"Size=Medium | Color=Gray",AGT-TSO-BKGY-4M
,,,,,119.00,,6,Variation,"Size=X-Large | Color=Gray",AGT-TSO-BKGY-6XL
